Unnamed: 0,Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
1620491,802,3/4/2019,RST,REGION,Första,Passage,1,Påstigande av resande,0,-,1,Cst,U,Stockholm C,Cst,Karlberg,Ke,40:00.0,43:00.0,43:00.0,40:00.0,,,,,3,3,0,0,0,
106454,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,2,Cst,U,Karlberg,Ke,Tomteboda övre,Tmö,43:00.0,44:00.0,44:00.0,43:00.0,43:00.0,43:00.0,0,0,1,1,0,0,0,0
2535957,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,3,Cst,U,Tomteboda övre,Tmö,Solna,So,44:00.0,45:00.0,45:00.0,44:00.0,44:00.0,44:00.0,0,0,1,1,0,0,0,0
2215316,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,4,Cst,U,Solna,So,Ulriksdal,Udl,45:00.0,46:00.0,46:00.0,45:00.0,45:00.0,45:00.0,0,0,1,1,0,0,0,0
2520369,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,5,Cst,U,Ulriksdal,Udl,Helenelund,Hel,46:00.0,48:00.0,47:00.0,46:00.0,46:00.0,46:00.0,0,0,2,1,-1,0,-1,0
2297273,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,6,Cst,U,Helenelund,Hel,Kummelby,Kmy,48:00.0,48:00.0,48:00.0,47:00.0,48:00.0,47:00.0,0,0,0,1,1,-1,0,0
1925254,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,7,Cst,U,Kummelby,Kmy,Sollentuna,Sol,48:00.0,48:00.0,48:00.0,48:00.0,48:00.0,48:00.0,0,0,0,0,0,0,0,0
951994,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,8,Cst,U,Sollentuna,Sol,Häggvik,Hgv,48:00.0,49:00.0,49:00.0,48:00.0,48:00.0,48:00.0,0,0,1,1,0,0,0,0
1028655,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,9,Cst,U,Häggvik,Hgv,Norrviken,Nvk,49:00.0,50:00.0,49:00.0,49:00.0,49:00.0,49:00.0,0,0,1,0,-1,0,-1,0
918968,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,10,Cst,U,Norrviken,Nvk,Rotebro,R,50:00.0,51:00.0,50:00.0,49:00.0,50:00.0,49:00.0,0,0,1,1,0,-1,-1,0
491515,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,11,Cst,U,Rotebro,R,Upplands Väsby,Upv,51:00.0,53:00.0,52:00.0,50:00.0,51:00.0,50:00.0,0,0,2,2,0,-1,-1,0
2527552,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,12,Cst,U,Upplands Väsby,Upv,Skavstaby,Skby,53:00.0,54:00.0,54:00.0,52:00.0,53:00.0,52:00.0,0,0,1,2,1,-1,0,0
1595777,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,13,Cst,U,Skavstaby,Skby,Rosersberg,Rs,54:00.0,57:00.0,56:00.0,54:00.0,54:00.0,54:00.0,0,0,3,2,-1,0,-1,0
1650610,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,14,Cst,U,Rosersberg,Rs,Brista,Bra,57:00.0,58:00.0,57:00.0,56:00.0,57:00.0,56:00.0,0,0,1,1,0,-1,-1,0
2525564,802,3/4/2019,RST,REGION,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,15,Cst,U,Brista,Bra,Märsta,Mr,58:00.0,00:00.0,58:00.0,57:00.0,58:00.0,57:00.0,0,0,2,1,-1,-1,-2,0
728798,802,3/4/2019,RST,REGION,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Cst,U,Märsta,Mr,Myrbacken,Myn,01:00.0,05:00.0,04:00.0,00:00.0,00:00.0,58:00.0,1,2,4,4,0,-1,-1,1
2205294,802,3/4/2019,RST,REGION,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Cst,U,Myrbacken,Myn,Knivsta,Kn,05:00.0,07:00.0,06:00.0,04:00.0,05:00.0,04:00.0,0,0,2,2,0,-1,-1,0
289200,802,3/4/2019,RST,REGION,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,18,Cst,U,Knivsta,Kn,Ekeby,Eby,08:00.0,12:00.0,10:00.0,08:00.0,07:00.0,06:00.0,1,2,4,2,-2,0,-2,1
838379,802,3/4/2019,RST,REGION,Passage,Passage,0,-,0,-,19,Cst,U,Ekeby,Eby,Säby,Säy,12:00.0,14:00.0,13:00.0,10:00.0,12:00.0,10:00.0,0,0,2,3,1,-2,-1,0
2384402,802,3/4/2019,RST,REGION,Passage,Sista,0,-,10,Avstigande av resande,20,Cst,U,Säby,Säy,Uppsala c,U,14:00.0,18:00.0,16:00.0,13:00.0,14:00.0,13:00.0,0,0,4,3,-1,-1,-2,0
416831,802,3/5/2019,RST,REGION,Första,Passage,1,Påstigande av resande,0,-,1,Cst,U,Stockholm C,Cst,Karlberg,Ke,40:00.0,43:00.0,42:00.0,39:00.0,,,,,3,3,0,-1,-1,
2587600,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,2,Cst,U,Karlberg,Ke,Tomteboda övre,Tmö,43:00.0,44:00.0,43:00.0,42:00.0,43:00.0,42:00.0,0,0,1,1,0,-1,-1,0
1800017,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,3,Cst,U,Tomteboda övre,Tmö,Solna,So,44:00.0,45:00.0,44:00.0,43:00.0,44:00.0,43:00.0,0,0,1,1,0,-1,-1,0
15755,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,4,Cst,U,Solna,So,Ulriksdal,Udl,45:00.0,46:00.0,45:00.0,44:00.0,45:00.0,44:00.0,0,0,1,1,0,-1,-1,0
388203,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,5,Cst,U,Ulriksdal,Udl,Helenelund,Hel,46:00.0,48:00.0,46:00.0,45:00.0,46:00.0,45:00.0,0,0,2,1,-1,-1,-2,0
2520386,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,6,Cst,U,Helenelund,Hel,Kummelby,Kmy,48:00.0,48:00.0,47:00.0,46:00.0,48:00.0,46:00.0,0,0,0,1,1,-2,-1,0
1571864,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,7,Cst,U,Kummelby,Kmy,Sollentuna,Sol,48:00.0,48:00.0,47:00.0,47:00.0,48:00.0,47:00.0,0,0,0,0,0,-1,-1,0
248817,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,8,Cst,U,Sollentuna,Sol,Häggvik,Hgv,48:00.0,49:00.0,48:00.0,47:00.0,48:00.0,47:00.0,0,0,1,1,0,-1,-1,0
1000432,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,9,Cst,U,Häggvik,Hgv,Norrviken,Nvk,49:00.0,50:00.0,49:00.0,48:00.0,49:00.0,48:00.0,0,0,1,1,0,-1,-1,0
2434167,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,10,Cst,U,Norrviken,Nvk,Rotebro,R,50:00.0,51:00.0,49:00.0,49:00.0,50:00.0,49:00.0,0,0,1,0,-1,-1,-2,0
1211166,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,11,Cst,U,Rotebro,R,Upplands Väsby,Upv,51:00.0,53:00.0,52:00.0,49:00.0,51:00.0,49:00.0,0,0,2,3,1,-2,-1,0
2469348,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,12,Cst,U,Upplands Väsby,Upv,Skavstaby,Skby,53:00.0,54:00.0,54:00.0,52:00.0,53:00.0,52:00.0,0,0,1,2,1,-1,0,0
1119615,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,13,Cst,U,Skavstaby,Skby,Rosersberg,Rs,54:00.0,57:00.0,56:00.0,54:00.0,54:00.0,54:00.0,0,0,3,2,-1,0,-1,0
1650611,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,14,Cst,U,Rosersberg,Rs,Brista,Bra,57:00.0,58:00.0,57:00.0,56:00.0,57:00.0,56:00.0,0,0,1,1,0,-1,-1,0
115782,802,3/5/2019,RST,REGION,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,15,Cst,U,Brista,Bra,Märsta,Mr,58:00.0,00:00.0,59:00.0,57:00.0,58:00.0,57:00.0,0,0,2,2,0,-1,-1,0
2105720,802,3/5/2019,RST,REGION,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Cst,U,Märsta,Mr,Myrbacken,Myn,01:00.0,05:00.0,05:00.0,01:00.0,00:00.0,59:00.0,1,2,4,4,0,0,0,1
2539181,802,3/5/2019,RST,REGION,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,17,Cst,U,Myrbacken,Myn,Knivsta,Kn,05:00.0,07:00.0,08:00.0,05:00.0,05:00.0,05:00.0,0,0,2,3,1,0,1,0
1838970,802,3/5/2019,RST,REGION,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,18,Cst,U,Knivsta,Kn,Ekeby,Eby,08:00.0,12:00.0,12:00.0,09:00.0,07:00.0,08:00.0,1,1,4,3,-1,1,0,0
972893,802,3/5/2019,RST,REGION,Passage,Passage,0,-,0,-,19,Cst,U,Ekeby,Eby,Säby,Säy,12:00.0,14:00.0,15:00.0,12:00.0,12:00.0,12:00.0,0,0,2,3,1,0,1,0
1735476,802,3/5/2019,RST,REGION,Passage,Sista,0,-,10,Avstigande av resande,20,Cst,U,Säby,Säy,Uppsala c,U,14:00.0,18:00.0,18:00.0,15:00.0,14:00.0,15:00.0,0,0,4,3,-1,1,0,0
639235,802,3/6/2019,RST,REGION,Första,Passage,1,Påstigande av resande,0,-,1,Cst,U,Stockholm C,Cst,Karlberg,Ke,40:00.0,43:00.0,42:00.0,38:00.0,,,,,3,4,1,-2,-1,
