,Tåguppdrag,Datum_PAU,Tågslag,Tågsort,UppehållstypAvgång,UppehållstypAnkomst,AktivitetskodAvgång,AktivitetskodBeskrivningAvgång,AktivitetskodAnkomst,AktivitetskodBeskrivningAnkomst,DelSträckanummer,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag,Avgångsplats,Avgångsplatssignatur,Ankomstplats,Ankomstplatssignatur,PlanAvgTid,PlanAnkTid,UtfAnkTid,UtfAvgTid,PlanAnkTid_vid_AvgPlats,UtfAnkTid_vid_AvgPlats,PlanUppehållstidAvgång,UtfUppehållstidAvgång,PlanGångtid,UtfGångtid,FörseningGångtid,AvgFörsening,AnkFörsening,FörseningUppehållAvgång
1680753,1293,3/1/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,19,Lu,Y,Rydsgård,Rdg,Rynge,Rye,44:00.0,47:00.0,46:00.0,44:00.0,43:00.0,42:00.0,1,2,3,2,-1,0,-1,1
1682154,1295,3/16/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,11,Lu,Y,Hyllie,Hie,Svågertorp,Stp,15:00.0,18:00.0,16:00.0,14:00.0,14:00.0,12:00.0,1,2,3,2,-1,-1,-2,1
1682155,1295,3/24/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,11,Lu,Y,Hyllie,Hie,Svågertorp,Stp,15:00.0,18:00.0,16:00.0,14:00.0,14:00.0,12:00.0,1,2,3,2,-1,-1,-2,1
1687873,1293,3/12/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,03:00.0,01:00.0,02:00.0,01:00.0,0,0,3,2,-1,-1,-2,0
1687876,1293,3/13/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,03:00.0,01:00.0,02:00.0,01:00.0,0,0,3,2,-1,-1,-2,0
1688657,1289,3/3/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,8,Lu,Y,Malmö Godsbangård,Mgb,Malmö c,M,02:00.0,05:00.0,03:00.0,00:00.0,02:00.0,00:00.0,0,0,3,3,0,-2,-2,0
1689867,1293,3/26/2019,RST,PENDEL,Passage,Sista,0,-,10,Avstigande av resande,23,Lu,Y,Vilhelmsborg,Vlb,Ystad,Y,52:00.0,56:00.0,57:00.0,50:00.0,52:00.0,50:00.0,0,0,4,7,3,-2,1,0
1691262,1293,3/20/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,24:00.0,22:00.0,19:00.0,22:00.0,0,0,2,2,0,3,3,0
1692156,1289,3/31/2019,RST,PENDEL,Passage,Passage,0,-,0,-,5,Lu,Y,Åkarp,Åk,Burlöv,Blv,58:00.0,00:00.0,59:00.0,58:00.0,58:00.0,58:00.0,0,0,2,1,-1,0,-1,0
1692435,1295,3/24/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Lu,Y,Svedala,Sea,Lemmeströ,Lmm,29:00.0,34:00.0,32:00.0,28:00.0,28:00.0,26:00.0,1,2,5,4,-1,-1,-2,1
1692436,1295,3/23/2019,RST,PENDEL,Uppehåll,Passage,11,Av- och påstigande av resande,0,-,16,Lu,Y,Svedala,Sea,Lemmeströ,Lmm,29:00.0,34:00.0,32:00.0,28:00.0,28:00.0,26:00.0,1,2,5,4,-1,-1,-2,1
1694824,1293,3/30/2019,RST,PENDEL,Uppehåll,Uppehåll,11,Av- och påstigande av resande,11,Av- och påstigande av resande,10,Lu,Y,Triangeln,Tri,Hyllie,Hie,10:00.0,14:00.0,01:00.0,58:00.0,09:00.0,57:00.0,1,1,4,3,-1,48,47,0
1696223,1293,3/25/2019,RST,PENDEL,Passage,Uppehåll,0,-,11,Av- och påstigande av resande,13,Lu,Y,Lockarp,Lrp,Oxie,Ox,19:00.0,21:00.0,20:00.0,18:00.0,19:00.0,18:00.0,0,0,2,2,0,-1,-1,0
1698132,1293,3/30/2019,RST,PENDEL,Passage,Passage,0,-,0,-,4,Lu,Y,Åkarps norra,Åkn,Åkarp,Åk,58:00.0,58:00.0,49:00.0,49:00.0,58:00.0,49:00.0,0,0,0,0,0,51,51,0
1701414,1289,3/17/2019,RST,PENDEL,Passage,Passage,0,-,0,-,6,Lu,Y,Burlöv,Blv,Arlöv,Al,00:00.0,01:00.0,02:00.0,01:00.0,00:00.0,01:00.0,0,0,1,1,0,1,1,0
